PUMA,community
3501,EDGEWATER
3501,UPTOWN
3501,ROGERS PARK
3502,LAKE VIEW
3502,LINCOLN PARK
3503,WEST RIDGE
3503,LINCOLN SQUARE
3503,NORTH CENTER
3504,IRVING PARK
3504,ALBANY PARK
3504,FOREST GLEN
3504,NORTH PARK
3520,PORTAGE PARK
3520,DUNNING
3520,JEFFERSON PARK
3521,AUSTIN
3521,BELMONT CRAGIN
3521,MONTCLARE
3522,LOGAN SQUARE
3522,AVONDALE
3522,HERMOSA
3523,NORTH LAWNDALE
3523,SOUTH LAWNDALE
3523,HUMBOLDT PARK
3523,EAST GARFIELD PARK
3523,WEST GARFIELD PARK
3524,WEST TOWN
3524,NEAR WEST SIDE
3524,LOWER WEST SIDE
3525,NEAR NORTH SIDE
3525,LOOP
3525,NEAR SOUTH SIDE
3526,BRIGHTON PARK
3526,NEW CITY
3526,BRIDGEPORT
3526,MCKINLEY PARK
3527,GAGE PARK
3527,GARFIELD RIDGE
3527,WEST LAWN
3528,CHICAGO LAWN
3528,ENGLEWOOD
3528,WEST ENGLEWOOD
3528,GREATER GRAND CROSSING
3529,SOUTH SHORE
3529,HYDE PARK
3529,WOODLAWN
3529,GRAND BOULEVARD
3529,DOUGLAS
3530,ASHBURN
3530,WASHINGTON HEIGHTS
3530,MORGAN PARK
3530,BEVERLY
3531,AUBURN GRESHAM
3531,ROSELAND
3531,CHATHAM
3531,AVALON PARK
3531,BURNSIDE
3532,SOUTH CHICAGO
3532,PULLMAN
3532,WEST PULLMAN
3532,EAST SIDE
3532,SOUTH DEERING
3532,CALUMET HEIGHTS
3532,RIVERDALE
3532,HEGEWISCH
3530,MOUNT GREENWOOD
3529,WASHINGTON PARK
3529,KENWOOD
3529,OAKLAND
3529,FULLER PARK
3525,ARMOUR SQUARE
3526,ARCHER HEIGHTS
3527,WEST ELSDON
3527,CLEARING
3420,EDISON PARK
3422,OHARE
